pldb_id,title,type,appeared,language_rank,features_has_comments,features_has_semantic_indentation,features_has_line_comments,line_comment_token,last_activity,number_of_users,number_of_jobs,origin_community,central_package_repository_count,file_type,is_open_source
orc-lang,Orc,pl,2004,1196,TRUE,FALSE,NA,NA,2007,86,0,The University of Texas at Austin,0,text,TRUE
gerbil,Gerbil Scheme,pl,2016,1024,TRUE,NA,TRUE,;,2022,1169,0,https://github.com/vyzo/gerbil/issues,NA,NA,NA
bc,basic calculator,pl,1975,1055,TRUE,NA,NA,NA,2004,440,0,Bell Labs,0,text,NA
neeilang,neeilang,pl,2019,1211,TRUE,FALSE,TRUE,//,2022,49,0,https://github.com/neeilan/neeilang/issues,NA,NA,NA
hilvl,hilvl,pl,2015,1212,TRUE,FALSE,TRUE,//,2021,7,0,https://github.com/holgerl/hilvl/issues,NA,NA,NA
dale,Dale,pl,2013,1037,TRUE,NA,NA,NA,2022,1111,0,NA,NA,NA,NA
cfscript,CFScript,pl,1999,1230,TRUE,FALSE,TRUE,//,2006,55,0,NA,0,NA,NA
yasl,Yet Another Scripting Language,pl,2017,1219,TRUE,FALSE,TRUE,#,2022,100,0,NA,NA,NA,NA
holyc,holyc,pl,2005,1222,TRUE,FALSE,TRUE,//,2005,0,0,https://github.com/cia-foundation/TempleOS/issues,NA,NA,NA
redcode,Redcode,pl,1984,1101,TRUE,NA,TRUE,NA,2003,575,0,Bolt Beranek and Newman Inc,0,text,NA
neut,neut,pl,2018,1114,TRUE,FALSE,TRUE,;,2022,816,0,https://github.com/vekatze/neut/issues,NA,NA,NA
txr,txr,pl,2009,1239,TRUE,FALSE,NA,NA,2009,1,0,NA,NA,NA,NA
zimpl,Zimpl,pl,2004,1240,TRUE,FALSE,TRUE,#,2004,1,0,NA,0,text,NA
nymph,Nymph,pl,2017,1254,TRUE,FALSE,TRUE,//,2022,192,0,https://github.com/maelswarm/nymph/issues,NA,NA,NA
boron,Boron,pl,2009,1257,TRUE,NA,TRUE,;,2009,1,0,NA,NA,text,TRUE
s-plus,S-PLUS,pl,1988,1068,TRUE,FALSE,TRUE,#,2006,390,0,NA,0,text,FALSE
tuple-space,Tuple space,pl,1988,1206,TRUE,FALSE,TRUE,//,2005,300,0,NA,0,NA,NA
nesl,NESL,pl,1993,1292,TRUE,NA,NA,NA,2004,70,0,Carnegie Mellon University,0,text,NA
ocl,OCL,pl,1997,1102,TRUE,FALSE,TRUE,--,2008,950,0,IBM,NA,NA,NA
mouse,Mouse,pl,1970,1275,TRUE,FALSE,TRUE,~,2006,81,0,https://sourceforge.net/p/mouse/mailman,0,text,NA
haggis,HAGGIS,pl,2010,1153,TRUE,FALSE,NA,NA,2016,480,0,University of Glasgow && Heriot Watt University && University of Strathclyde,0,text,NA
spiral,spiral,pl,2017,1120,TRUE,FALSE,TRUE,//,2022,920,0,NA,NA,NA,NA
ags-script,Adventure Game Studio Script,pl,2001,1301,TRUE,FALSE,TRUE,//,2018,201,0,Adventure Game Studio,0,text,NA
c-shell,C shell,pl,1978,1302,TRUE,FALSE,TRUE,#,2002,116,0,"University of California, Berkeley",0,text,TRUE
charity,Charity,pl,1992,1303,TRUE,FALSE,TRUE,%,2005,111,0,University of Calgary,0,text,NA
pawn-scripting-language,Pawn,pl,1998,1305,TRUE,NA,TRUE,NA,1998,15,0,Informatie-Technologisch Bureau CompuPhase,0,NA,NA
epsilon,epsilon,pl,1967,1307,TRUE,FALSE,TRUE,//,1967,1,0,"Eclipse Foundation, Inc",NA,NA,NA
z-expressions,Z,pl,2012,1315,TRUE,TRUE,TRUE,--,2022,303,0,NA,NA,NA,NA
jspp,JS++,pl,2011,1323,TRUE,FALSE,TRUE,//,2011,21,0,Onux,NA,NA,NA
jslt,JSLT,pl,2017,1187,TRUE,NA,TRUE,NA,2022,772,0,https://github.com/schibsted,NA,NA,NA
manool,manool,pl,2018,1347,TRUE,FALSE,TRUE,--,2022,67,0,https://github.com/rusini/manool/pulls,NA,NA,NA
judoscript,Judoscript,pl,2001,1348,TRUE,FALSE,TRUE,//,2007,40,0,https://github.com/metaprgmr/Judoscript/issues,0,NA,TRUE
parasail,parasail,pl,2009,1349,TRUE,NA,TRUE,NA,2012,21,0,Ada Core Technologies,NA,NA,NA
fsl,Finite State Language,pl,2016,1351,TRUE,FALSE,TRUE,//,2016,0,0,https://github.com/StoneCypher/jssm/issues,NA,NA,NA
silk,silk,pl,2019,1369,TRUE,FALSE,TRUE,//,2022,73,0,NA,NA,NA,NA
augeas,Augeas,pl,2007,1370,TRUE,NA,NA,NA,2022,66,0,Red Hat Software,0,text,TRUE
claro,Claro,pl,2021,1371,TRUE,FALSE,TRUE,#,2022,8,0,https://github.com/JasonSteving99,NA,NA,NA
fjolnir,Fjölnir,pl,1986,1388,TRUE,FALSE,TRUE,;,2005,105,0,University of Iceland,0,text,NA
owen-lang,owen-lang,pl,2019,1392,TRUE,FALSE,TRUE,//,2022,13,0,https://github.com/pawwkm/owen/issues,NA,NA,NA
verifpal,verifpal,pl,2019,1395,TRUE,FALSE,TRUE,//,2022,1,0,NA,NA,NA,NA
jsl,JSL,pl,1989,1425,TRUE,FALSE,TRUE,//,1989,0,0,JMP Statistical Discovery LLC,NA,NA,NA
popr,popr,pl,2012,1408,TRUE,FALSE,TRUE,__,2022,217,0,https://github.com/HackerFoo/poprc/issues,0,text,TRUE
kai,kai,pl,2016,1412,TRUE,FALSE,TRUE,//,2020,73,0,https://github.com/kai-language,NA,NA,NA
buddyscript,BuddyScript,pl,2002,1415,TRUE,TRUE,TRUE,#,2009,35,0,ActiveBuddy,0,text,NA
fizz,fizz,pl,2017,1417,TRUE,FALSE,TRUE,//,2017,1,0,https://f1zz.org,NA,NA,NA
ldpl,ldpl,pl,2019,1438,TRUE,FALSE,TRUE,#,2022,199,0,https://github.com/Lartu/ldpl/issues,NA,NA,NA
pointless,pointless,pl,2020,1439,TRUE,NA,TRUE,NA,2022,147,0,https://github.com/pointless-lang,NA,NA,NA
easytrieve,Easytrieve,pl,1969,1484,TRUE,NA,TRUE,NA,2009,125,0,CA Technologies,0,NA,NA
lite-c,Lite-C,pl,2007,1485,TRUE,FALSE,TRUE,//,2007,86,0,Conitec Datensysteme GmbH,0,text,TRUE
atomese,Atomese,pl,2007,1521,TRUE,FALSE,TRUE,;,2007,1,0,OpenCog Foundation,NA,NA,NA
dedukti,dedukti,pl,2009,1549,TRUE,FALSE,NA,NA,2022,211,0,https://github.com/Deducteam,NA,NA,NA
tal,TAL,pl,2008,1584,TRUE,NA,NA,NA,2008,105,0,NA,0,text,NA
sqr,Structured Query Reporter,pl,1980,1503,TRUE,FALSE,TRUE,!,2005,330,0,NA,0,text,NA
heron-lang,Heron,pl,2016,1571,TRUE,FALSE,TRUE,//,2022,70,0,https://github.com/cdiggins/heron-language/issues,NA,NA,NA
taf,taf,pl,2012,1572,TRUE,FALSE,TRUE,;,2022,63,0,NA,NA,NA,NA
rpl-lang,Reactive Plan Language,pl,1993,1605,TRUE,FALSE,TRUE,;,1993,0,0,NA,0,text,NA
action-code-script,Action Code Script,pl,2004,1629,TRUE,FALSE,TRUE,//,2004,55,0,id Software,0,NA,NA
xpl0,XPL0,pl,1976,1652,TRUE,FALSE,NA,NA,2008,40,0,NA,0,NA,NA
isetl,ISETL,pl,1989,1655,TRUE,FALSE,TRUE,--,2014,25,0,Clarkson University,0,NA,NA
boogie,Boogie,pl,2008,1657,TRUE,NA,TRUE,NA,2008,1,0,Microsoft,NA,NA,NA
rosette-lang,rosette-lang,pl,2013,1662,TRUE,FALSE,TRUE,;,2013,1,0,NA,NA,NA,NA
xxl,xxl,pl,2016,1688,TRUE,FALSE,TRUE,//,2022,209,0,NA,NA,NA,NA
pnuts,Pnuts,pl,1997,1708,TRUE,FALSE,TRUE,//,2008,60,0,Sun Japan,0,NA,TRUE
bla,Bla,pl,1994,1713,TRUE,FALSE,TRUE,--,1994,1,0,University of Amsterdam,NA,NA,NA
false,False,pl,1993,1716,TRUE,FALSE,NA,NA,1993,1,0,http://strlen.com,0,NA,NA
urbiscript,Urbiscript,pl,2003,1736,TRUE,NA,NA,NA,2011,45,0,NA,0,NA,TRUE
blz,blz,pl,2015,1738,TRUE,FALSE,TRUE,#,2021,25,0,NA,NA,NA,NA
ctalk-lang,ctalk-lang,pl,1989,1746,TRUE,FALSE,TRUE,//,1989,0,0,École des Mines de Saint-Étienne,NA,NA,NA
floscript,FloScript,pl,2013,1618,TRUE,NA,TRUE,NA,2021,249,0,ProSapien LLC,NA,NA,NA
probevue,ProbeVue,pl,2008,1785,TRUE,FALSE,NA,NA,2008,20,0,http://www.tablespace.net,0,text,NA
plot-lang,Plot,pl,2006,1793,TRUE,FALSE,TRUE,;,2006,1,0,Association of Lisp Users,NA,NA,NA
wart,Wart,pl,2010,1838,TRUE,FALSE,TRUE,#,2019,127,0,NA,NA,NA,NA
stella,stella,pl,1999,1860,TRUE,FALSE,TRUE,;,1999,1,0,NA,NA,NA,NA
